X,Y,FID,GIS_DB_ID,Mode,Source,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,WKDY_ONS,WKDY_OFFS,SAT_ONS,SAT_OFFS,SUN_ONS,SUN_OFFS
-8372702.24938005,4870183.25330528,9812,3516188L,Bus,Infodev,35,Loop,16188,Roxborough Av & Mitchell St,40.029178,-75.213264,Fall 2021,1,3,0,0,0,1
-8372171.47804795,4869625.88428734,9813,6514891N,Bus,Infodev,65,Northbound,14891,Ridge Av & Markle St,40.025344,-75.208496,Fall 2021,5,6,4,5,0,5
-8375819.9743587,4859981.55661764,9814,21435W,Bus,Infodev,21,Westbound,435,Walnut St & 60th St,39.958969,-75.241271,Fall 2021,28,122,25,58,10,36
-8372894.16418218,4870069.56725353,9815,3516189L,Bus,Infodev,35,Loop,16189,Roxborough Av & Pechin St,40.028396,-75.214988,Fall 2021,0,0,0,0,0,0
-8372171.47804795,4869625.88428734,9816,914891N,Bus,Infodev,9,Northbound,14891,Ridge Av & Markle St,40.025344,-75.208496,Fall 2021,8,10,0,5,1,2
-8376039.94167251,4860016.99281138,9817,21436W,Bus,Infodev,21,Westbound,436,Walnut St & 61st St,39.959213,-75.243247,Fall 2021,17,43,10,23,4,17
-8372472.04067309,4870316.42174461,9818,3216019N,Bus,Infodev,32,Northbound,16019,Roxborough Av & Ridge Av,40.030094,-75.211196,Fall 2021,4,43,1,14,0,8
-8367742.29814827,4862433.34240339,9819,6112307S,Bus,Infodev,61,Southbound,12307,Ridge Av & Master St,39.975849,-75.168708,Fall 2021,28,18,8,8,12,4
-8376261.69009817,4860052.42913156,9820,2121384W,Bus,Infodev,21,Westbound,21384,Walnut St & 62nd St,39.959457,-75.245239,Fall 2021,8,41,10,24,9,14
-8353983.65436418,4872703.58038929,9821,701234E,Bus,Infodev,70,Eastbound,1234,Ryan Av & Sandyford Rd,40.046512,-75.045112,Fall 2021,6,0,0,0,0,0
-8367710.01549594,4862404.43452976,9822,6117873N,Bus,Infodev,61,Northbound,17873,Ridge Av & Master St,39.97565,-75.168418,Fall 2021,20,32,12,17,4,5
-8376488.44790092,4860091.20590549,9823,2121385W,Bus,Infodev,21,Westbound,21385,Walnut St & 63rd St,39.959724,-75.247276,Fall 2021,23,57,15,28,9,25
-8352590.82489538,4882274.41752693,9824,6722954N,Bus,Infodev,67,Northbound,22954,Sandmeyer Ln & 10059,40.112297,-75.0326,Fall 2021,0,4,0,0,0,0
