X,Y,FID,GIS_DB_ID,Mode,Source,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,WKDY_ONS,WKDY_OFFS
-8367246.70377526,4858597.90115454,156,415186S,Bus,UTA,4,Southbound,15186,BROAD ST & WALNUT ST,39.949441,-75.164256,Fall 2016,118,86
-8367275.31288439,4858425.10298098,157,415187S,Bus,UTA,4,Southbound,15187,BROAD ST & LOCUST ST,39.948251,-75.164513,Fall 2016,46,21
-8367306.48234181,4858248.96810441,158,415188S,Bus,UTA,4,Southbound,15188,BROAD ST & SPRUCE ST,39.947038,-75.164793,Fall 2016,26,28
-8367341.43666192,4858057.59013821,159,415189S,Bus,UTA,4,Southbound,15189,BROAD ST & PINE ST,39.94572,-75.165107,Fall 2016,15,20
-8367368.2646592,4857904.69369936,160,415190S,Bus,UTA,4,Southbound,15190,BROAD ST & LOMBARD ST,39.944667,-75.165348,Fall 2016,28,64
-8367393.64550311,4857752.23520607,161,415191S,Bus,UTA,4,Southbound,15191,BROAD ST & SOUTH ST,39.943617,-75.165576,Fall 2016,45,26
-8367424.14704358,4857572.04680366,162,415192S,Bus,UTA,4,Southbound,15192,BROAD ST & BAINBRIDGE ST - F,39.942376,-75.16585,Fall 2016,7,9
-8367445.18642734,4857449.06755455,163,415193S,Bus,UTA,4,Southbound,15193,BROAD ST & FITZWATER ST,39.941529,-75.166039,Fall 2016,11,28
-8367467.00504754,4857318.53988704,164,415194S,Bus,UTA,4,Southbound,15194,BROAD ST & CATHERINE ST,39.94063,-75.166235,Fall 2016,22,51
-8367487.04255588,4857200.64540327,165,415195S,Bus,UTA,4,Southbound,15195,BROAD ST & CHRISTIAN ST,39.939818,-75.166415,Fall 2016,37,92
-8367511.31020487,4857055.60226192,166,415196S,Bus,UTA,4,Southbound,15196,BROAD ST & CARPENTER ST,39.938819,-75.166633,Fall 2016,17,15
-8367535.24389539,4856911.43234893,167,4148S,Bus,UTA,4,Southbound,148,BROAD ST & WASHINGTON AV,39.937826,-75.166848,Fall 2016,36,47
